Zeit,RatePrz,Champion
16140.339483240741,51.470000000000006,aatrox
16154.708380555556,50.63999999999999,aatrox
16170.958402141203,50.36000000000001,aatrox
16186.20838662037,49.81,aatrox
16202.87506769676,49.41,aatrox
16217.49655699074,50.07,aatrox
16232.309100451388,51.83,aatrox
16247.743086145834,48.16,aatrox
16261.944469016204,48.69,aatrox
16276.756963321759,47.099999999999994,aatrox
16294.711846574073,47.370000000000005,aatrox
16310.027807349537,47.82,aatrox
16324.90690755787,48.010000000000005,aatrox
16339.930583368056,47.61,aatrox
16356.692547523147,48.63,aatrox
16370.875022893519,47.79,aatrox
16385.833353391205,49.02,aatrox
16400.000019166666,48.43,aatrox
16421.37506847222,49.27,aatrox
16437.991135856482,47.44,aatrox
16454.33341273148,48.43,aatrox
16472.3750209375,48.17,aatrox
16487.666695266205,48.05,aatrox
16502.791732083333,49.45,aatrox
16518.083405,50.43,aatrox
16534.37505295139,47.68,aatrox
16549.91668914352,49.730000000000004,aatrox
16565.541733888887,50.59,aatrox
16581.750029699073,50.580000000000005,aatrox
16596.33951128472,51.629999999999995,aatrox
16611.625047025464,50.91,aatrox
16626.8841653125,52.7,aatrox
16642.583404837962,51.519999999999996,aatrox
16659.20845273148,51.78,aatrox
16676.750069907408,51.25999999999999,aatrox
16692.738115520835,51.28,aatrox
16710.79168204861,51.64,aatrox
16727.416694641204,52.449999999999996,aatrox
16744.843897916668,52.92,aatrox
16762.291732037036,51.519999999999996,aatrox
16781.41673763889,53.05,aatrox
16798.625023356482,51.7,aatrox
16814.70839596065,51.71,aatrox
16832.916701643517,54.99000000000001,aatrox
16849.208399016203,53.03,aatrox
16866.041700914353,50.9,aatrox
16881.625025578705,52.910000000000004,aatrox
16897.166735625,49.95,aatrox
16914.791720300927,53.769999999999996,aatrox
16931.00004289352,50.480000000000004,aatrox
16951.16671837963,50.91,aatrox
16969.500027858798,49.82,aatrox
16987.958358726853,49.99,aatrox
17002.791710868056,53.47,aatrox
17021.00004324074,52.019999999999996,aatrox
17044.708381875,52.61,aatrox
17064.87502016204,51.11,aatrox
17089.942590902778,63.029999999999994,aatrox
17105.983610509258,56.95,aatrox
17127.942161296298,52.86,aatrox
17149.493078912037,52.28,aatrox
17164.666709872687,53.339999999999996,aatrox
17180.52780025463,52.27,aatrox
17195.68751991898,51.470000000000006,aatrox
17211.368080925928,55.54,aatrox
17225.777805555557,54.48,aatrox
17240.50696400463,49.51,aatrox
17255.722241006944,51.949999999999996,aatrox
17270.805574085647,52.71,aatrox
17286.534741493055,68.05,aatrox
17301.93834465278,52.61,aatrox
17317.409738125,54.71,aatrox
17331.722245694444,52.04,aatrox
17346.895854953702,54.0,aatrox
17362.4097375,52.690000000000005,aatrox
17376.618070324075,52.480000000000004,aatrox
17395.854189305555,50.79,aatrox
17413.842945046297,48.38,aatrox
17428.86113287037,49.03,aatrox
17448.000019212963,52.7,aatrox
17463.979183217594,50.519999999999996,aatrox
17479.034272662037,48.99,aatrox
17494.020851203702,45.800000000000004,aatrox
17508.87586423611,49.730000000000004,aatrox
17523.020854120372,50.93,aatrox
17539.82809150463,47.52,aatrox
17554.33335103009,50.11,aatrox
17568.333353680555,50.63999999999999,aatrox
17583.333348738426,53.080000000000005,aatrox
17597.63865773148,52.51,aatrox
17612.333349988425,51.82,aatrox
17627.291685891203,51.339999999999996,aatrox
17642.29168777778,51.65,aatrox
17656.29168891204,50.55,aatrox
17671.291687546298,51.739999999999995,aatrox
17685.784442638887,51.72,aatrox
17700.74392917824,50.529999999999994,aatrox
17715.0416909375,46.97,aatrox
17730.041682118055,51.66,aatrox
17744.041688194444,49.559999999999995,aatrox
17758.04168966435,49.919999999999995,aatrox
17772.40244221065,48.04,aatrox
17787.00001923611,49.15,aatrox
17801.57312931713,49.05,aatrox
17816.00001528935,48.559999999999995,aatrox
17830.000020752315,48.53,aatrox
17844.041680497685,49.29,aatrox
17858.04168818287,48.339999999999996,aatrox
17873.041687465276,48.79,aatrox
17888.041690243055,49.669999999999995,aatrox
17903.041685381944,49.4,aatrox
17918.04168689815,49.38,aatrox
17932.95835136574,46.6,aatrox
17947.041688113426,45.69,aatrox
17962.041685104166,44.81,aatrox
17976.95834909722,46.27,aatrox
17991.91669108796,45.86,aatrox
18007.916685636574,46.6,aatrox
18008.916683171297,46.83,aatrox
18009.91668521991,46.36,aatrox
18010.916680532406,46.53,aatrox
18011.916682858795,46.33,aatrox
18012.404592939816,45.81,aatrox
18012.916688379628,45.73,aatrox
18013.473624618055,46.37,aatrox
18014.041682789353,46.26,aatrox
18015.08335417824,46.19,aatrox
18015.386308483798,45.739999999999995,aatrox
18015.916683900465,46.21,aatrox
18016.400201215278,46.27,aatrox
18016.649207071758,46.32,aatrox
18016.916681944444,46.410000000000004,aatrox
18017.386549016202,46.660000000000004,aatrox
18017.964254212962,45.73,aatrox
18018.8685878125,43.87,aatrox
16140.339483240741,48.980000000000004,ahri
16154.708380555556,48.370000000000005,ahri
16170.958402141203,48.55,ahri
16186.20838662037,48.54,ahri
16202.87506769676,48.03,ahri
16217.49655699074,48.82,ahri
16232.309100451388,48.14,ahri
16247.743086145834,49.05,ahri
16261.944469016204,49.480000000000004,ahri
16276.756963321759,51.22,ahri
16294.711846574073,51.51,ahri
16310.027807349537,52.2,ahri
16324.90690755787,52.55,ahri
16339.930583368056,52.18000000000001,ahri
16356.692547523147,52.080000000000005,ahri
16370.875022893519,51.6,ahri
16385.833353391205,51.94,ahri
16400.000019166666,50.41,ahri
16421.37506847222,51.61,ahri
16437.991135856482,52.080000000000005,ahri
16454.33341273148,52.44,ahri
16472.3750209375,57.97,ahri
16487.666695266205,51.67,ahri
16502.791732083333,52.059999999999995,ahri
16518.083405,52.27,ahri
16534.37505295139,52.059999999999995,ahri
16549.91668914352,52.75,ahri
16565.541733888887,53.63,ahri
16581.750029699073,53.26,ahri
16596.33951128472,53.290000000000006,ahri
16611.625047025464,53.04,ahri
16626.8841653125,54.559999999999995,ahri
16642.583404837962,54.43,ahri
16659.20845273148,54.43,ahri
16676.750069907408,53.849999999999994,ahri
16692.738115520835,53.81,ahri
16710.79168204861,53.339999999999996,ahri
16727.416694641204,53.31,ahri
16744.843897916668,53.38,ahri
16762.291732037036,53.44,ahri
16781.41673763889,54.2,ahri
16798.625023356482,53.71,ahri
16814.70839596065,54.15,ahri
16832.916701643517,53.559999999999995,ahri
16849.208399016203,53.97,ahri
16866.041700914353,52.839999999999996,ahri
16881.625025578705,53.49,ahri
16897.166735625,52.949999999999996,ahri
16914.791720300927,53.52,ahri
16931.00004289352,52.92,ahri
16951.16671837963,52.51,ahri
16969.500027858798,53.13,ahri
16987.958358726853,52.470000000000006,ahri
17002.791710868056,52.81,ahri
17021.00004324074,53.12,ahri
17044.708381875,53.0,ahri
17064.87502016204,53.0,ahri
17089.942590902778,54.98,ahri
17105.983610509258,54.09,ahri
17127.942161296298,54.16,ahri
17149.493078912037,54.22,ahri
17164.666709872687,53.31,ahri
17180.52780025463,53.61,ahri
17195.68751991898,53.75,ahri
17211.368080925928,53.510000000000005,ahri
17225.777805555557,53.99,ahri
17240.50696400463,54.03,ahri
17255.722241006944,54.269999999999996,ahri
17270.805574085647,53.92,ahri
17286.534741493055,57.78,ahri
17301.93834465278,53.73,ahri
17317.409738125,53.790000000000006,ahri
17331.722245694444,52.449999999999996,ahri
17346.895854953702,52.78,ahri
17362.4097375,52.449999999999996,ahri
17376.618070324075,52.190000000000005,ahri
17395.854189305555,51.239999999999995,ahri
17413.842945046297,50.29,ahri
17428.86113287037,50.73,ahri
17448.000019212963,50.029999999999994,ahri
17463.979183217594,50.260000000000005,ahri
17479.034272662037,49.94,ahri
17494.020851203702,50.14999999999999,ahri
17508.87586423611,50.260000000000005,ahri
17523.020854120372,51.42,ahri
17539.82809150463,49.830000000000005,ahri
17554.33335103009,49.84,ahri
17568.333353680555,50.89,ahri
17583.333348738426,51.1,ahri
17597.63865773148,51.370000000000005,ahri
17612.333349988425,50.42,ahri
17627.291685891203,51.11,ahri
17642.29168777778,50.09,ahri
17656.29168891204,50.480000000000004,ahri
17671.291687546298,51.7,ahri
17685.784442638887,50.07,ahri
17700.74392917824,50.13999999999999,ahri
17715.0416909375,48.79,ahri
17730.041682118055,50.07,ahri
17744.041688194444,52.93,ahri
17758.04168966435,52.94,ahri
17772.40244221065,53.42,ahri
17787.00001923611,52.83,ahri
17801.57312931713,53.11,ahri
17816.00001528935,52.27,ahri
17830.000020752315,52.28,ahri
17844.041680497685,51.94,ahri
17858.04168818287,54.09,ahri
17873.041687465276,52.49,ahri
17888.041690243055,53.059999999999995,ahri
17903.041685381944,53.23,ahri
17918.04168689815,52.17,ahri
17932.95835136574,52.49,ahri
17947.041688113426,51.910000000000004,ahri
17962.041685104166,52.470000000000006,ahri
17976.95834909722,52.15,ahri
17991.91669108796,52.55,ahri
18007.916685636574,52.92,ahri
18008.916683171297,52.839999999999996,ahri
18009.91668521991,52.800000000000004,ahri
18010.916680532406,52.86,ahri
18011.916682858795,53.04,ahri
18012.404592939816,53.059999999999995,ahri
18012.916688379628,53.18000000000001,ahri
18013.473624618055,53.05,ahri
18014.041682789353,53.13,ahri
18015.08335417824,52.81,ahri
18015.386308483798,52.790000000000006,ahri
18015.916683900465,52.53,ahri
18016.400201215278,52.690000000000005,ahri
18016.649207071758,52.800000000000004,ahri
18016.916681944444,53.190000000000005,ahri
18017.386549016202,53.11,ahri
18017.964254212962,53.06999999999999,ahri
18018.8685878125,52.65,ahri
16140.339483240741,51.12,akali
16154.708380555556,51.31,akali
16170.958402141203,51.92,akali
16186.20838662037,52.04,akali
16202.87506769676,51.72,akali
16217.49655699074,51.55,akali
16232.309100451388,52.22,akali
16247.743086145834,53.47,akali
16261.944469016204,53.800000000000004,akali
16276.756963321759,53.42,akali
16294.711846574073,54.04,akali
16310.027807349537,52.82,akali
16324.90690755787,53.06999999999999,akali
16339.930583368056,53.39,akali
16356.692547523147,52.44,akali
16370.875022893519,52.949999999999996,akali
16385.833353391205,52.32,akali
16400.000019166666,55.2,akali
16421.37506847222,54.03,akali
16437.991135856482,53.580000000000005,akali
16454.33341273148,52.910000000000004,akali
16472.3750209375,45.410000000000004,akali
16487.666695266205,48.58,akali
16502.791732083333,47.86,akali
16518.083405,47.44,akali
16534.37505295139,50.36000000000001,akali
16549.91668914352,49.370000000000005,akali
16565.541733888887,50.19,akali
16581.750029699073,51.07000000000001,akali
16596.33951128472,51.83,akali
16611.625047025464,51.9,akali
16626.8841653125,50.54,akali
16642.583404837962,49.93,akali
16659.20845273148,48.96,akali
16676.750069907408,49.74,akali
16692.738115520835,49.84,akali
16710.79168204861,49.0,akali
16727.416694641204,50.38,akali
16744.843897916668,51.65,akali
16762.291732037036,47.32,akali
16781.41673763889,49.75,akali
16798.625023356482,48.57,akali
16814.70839596065,47.67,akali
16832.916701643517,54.910000000000004,akali
16849.208399016203,50.33,akali
16866.041700914353,49.5,akali
16881.625025578705,49.88,akali
16897.166735625,50.99,akali
16914.791720300927,51.44,akali
16931.00004289352,52.769999999999996,akali
16951.16671837963,50.49,akali
16969.500027858798,51.980000000000004,akali
16987.958358726853,50.74999999999999,akali
17002.791710868056,52.94,akali
17021.00004324074,51.470000000000006,akali
17044.708381875,51.18000000000001,akali
17064.87502016204,51.5,akali
17089.942590902778,54.379999999999995,akali
17105.983610509258,54.2,akali
17127.942161296298,46.160000000000004,akali
17149.493078912037,52.42,akali
17164.666709872687,51.28,akali
17180.52780025463,51.239999999999995,akali
17195.68751991898,53.76,akali
17211.368080925928,52.959999999999994,akali
17225.777805555557,52.78,akali
17240.50696400463,53.36,akali
17255.722241006944,51.239999999999995,akali
17270.805574085647,53.04,akali
17286.534741493055,67.23,akali
17301.93834465278,50.980000000000004,akali
17317.409738125,50.690000000000005,akali
17331.722245694444,51.29,akali
17346.895854953702,51.05,akali
17362.4097375,50.56,akali
17376.618070324075,50.54,akali
17395.854189305555,50.51,akali
17413.842945046297,50.519999999999996,akali
17428.86113287037,50.77,akali
17448.000019212963,51.339999999999996,akali
17463.979183217594,52.739999999999995,akali
17479.034272662037,50.31,akali
17494.020851203702,49.51,akali
17508.87586423611,49.87,akali
17523.020854120372,49.89,akali
17539.82809150463,50.99,akali
17554.33335103009,49.86,akali
17568.333353680555,48.14,akali
17583.333348738426,49.53,akali
17597.63865773148,51.35999999999999,akali
17612.333349988425,48.67,akali
17627.291685891203,50.49,akali
17642.29168777778,48.93,akali
17656.29168891204,49.62,akali
17671.291687546298,48.9,akali
17685.784442638887,50.78,akali
17700.74392917824,50.19,akali
17715.0416909375,51.35999999999999,akali
17730.041682118055,50.029999999999994,akali
17744.041688194444,50.7,akali
17758.04168966435,45.839999999999996,akali
17772.40244221065,46.300000000000004,akali
17787.00001923611,48.6,akali
17801.57312931713,47.39,akali
17816.00001528935,48.32,akali
17830.000020752315,48.15,akali
17844.041680497685,46.88,akali
17858.04168818287,46.12,akali
17873.041687465276,45.46,akali
17888.041690243055,45.15,akali
17903.041685381944,44.51,akali
17918.04168689815,46.07,akali
17932.95835136574,46.660000000000004,akali
17947.041688113426,41.36,akali
17962.041685104166,45.93,akali
17976.95834909722,46.26,akali
17991.91669108796,47.08,akali
18007.916685636574,46.19,akali
18008.916683171297,46.2,akali
18009.91668521991,46.18,akali
18010.916680532406,45.92,akali
18011.916682858795,46.11,akali
18012.404592939816,46.32,akali
18012.916688379628,46.46,akali
18013.473624618055,46.339999999999996,akali
