"Var1","Freq"
"azir",34
"ryze",25
"lucian",21
"rengar",21
"khazix",20
"kindred",20
"reksai",20
"shen",20
"cassiopeia",19
"zed",19
"aatrox",18
"akali",18
"caitlyn",18
"corki",18
"graves",18
"leblanc",18
"maokai",18
"nidalee",18
"shyvana",18
"sion",18
"ekko",17
"evelynn",17
"jinx",17
"kalista",17
"kassadin",17
"elise",16
"ezreal",16
"galio",16
"gragas",16
"irelia",16
"sejuani",16
"syndra",16
"fiora",15
"fizz",15
"gangplank",15
"gnar",15
"ivern",15
"jarvaniv",15
"katarina",15
"kogmaw",15
"leesin",15
"nautilus",15
"tahmkench",15
"tristana",15
"yasuo",15
"hecarim",14
"poppy",14
"rammus",14
"rumble",14
"taliyah",14
"viktor",14
"zac",14
"ahri",13
"ashe",13
"bard",13
"drmundo",13
"jax",13
"jhin",13
"lissandra",13
"lux",13
"malzahar",13
"missfortune",13
"quinn",13
"renekton",13
"sivir",13
"skarner",13
"trundle",13
"twitch",13
"urgot",13
"yorick",13
"zyra",13
"alistar",12
"garen",12
"karma",12
"ornn",12
"soraka",12
"varus",12
"vayne",12
"zoe",12
"anivia",11
"chogath",11
"darius",11
"fiddlesticks",11
"jayce",11
"leona",11
"masteryi",11
"singed",11
"sona",11
"swain",11
"xinzhao",11
"ziggs",11
"zilean",11
"camille",10
"illaoi",10
"janna",10
"karthus",10
"lulu",10
"nocturne",10
"orianna",10
"pantheon",10
"rakan",10
"riven",10
"talon",10
"thresh",10
"vi",10
"vladimir",10
"aurelionsol",9
"kayle",9
"kayn",9
"kennen",9
"mordekaiser",9
"morgana",9
"veigar",9
"volibear",9
"brand",8
"braum",8
"nunu",8
"shaco",8
"taric",8
"tryndamere",8
"velkoz",8
"warwick",8
"amumu",7
"annie",7
"heimerdinger",7
"kaisa",7
"malphite",7
"teemo",7
"udyr",7
"xerath",7
"draven",6
"kled",6
"nasus",6
"olaf",6
"pyke",6
"sylas",6
"wukong",6
"xayah",6
"blitzcrank",5
"nami",5
"neeko",5
"twistedfate",5
"diana",4
